code,name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01,Alabama,0,0,0,0,0,0,0,0,4633360,4712651,4747424,4777326,4799277,4817678,4830620,4841164,4850771,4864680,4876250,4893186
02,Alaska,0,0,0,0,0,0,0,0,683142,691189,700703,711139,720316,728300,733375,736855,738565,738516,737068,736990
04,Arizona,0,0,0,0,0,0,0,0,6324865,6246816,6337373,6410979,6479703,6561516,6641928,6728577,6809946,6946685,7050299,7174064
05,Arkansas,0,0,0,0,0,0,0,0,2838143,2872684,2895928,2916372,2933369,2947036,2958208,2968472,2977944,2990671,2999370,3011873
06,California,0,0,0,0,0,0,0,0,36308527,36637290,36969200,37325068,37659181,38066920,38421464,38654206,38982847,39148760,39283497,39346023
08,Colorado,0,0,0,0,0,0,0,0,4843211,4887061,4966061,5042853,5119329,5197580,5278906,5359295,5436519,5531141,5610349,5684926
09,Connecticut,0,0,0,0,0,0,0,0,3494487,3545837,3558172,3572213,3583561,3592053,3593222,3588570,3594478,3581504,3575074,3570549
10,Delaware,0,0,0,0,0,0,0,0,863832,881278,890856,900131,908446,917060,926454,934695,943732,949495,957248,967679
11,District of Columbia,0,0,0,0,0,0,0,0,588433,584400,593955,605759,619371,633736,647484,659009,672391,684498,692683,701974
12,Florida,0,0,0,0,0,0,0,0,18222420,18511620,18688787,18885152,19091156,19361792,19645772,19934451,20278447,20598139,20901636,21216924
13,Georgia,0,0,0,0,0,0,0,0,9497667,9468815,9600612,9714569,9810417,9907756,10006693,10099320,10201635,10297484,10403847,10516579
15,Hawaii,0,0,0,0,0,0,0,0,1280241,1333591,1346554,1362730,1376298,1392704,1406299,1413673,1421658,1422029,1422094,1420074
16,Idaho,0,0,0,0,0,0,0,0,1492573,1526797,1549987,1567803,1583364,1599464,1616547,1635483,1657375,1687809,1717750,1754367
17,Illinois,0,0,0,0,0,0,0,0,12785043,12745359,12790182,12823860,12848554,12868747,12873761,12851684,12854526,12821497,12770631,12716164
18,Indiana,0,0,0,0,0,0,0,0,6342469,6417398,6454254,6485530,6514861,6542411,6568645,6589578,6614418,6637426,6665703,6696893
19,Iowa,0,0,0,0,0,0,0,0,2978880,3016267,3032266,3047646,3062553,3078116,3093526,3106589,3118102,3132499,3139508,3150011
20,Kansas,0,0,0,0,0,0,0,0,2777835,2809329,2830985,2851183,2868107,2882946,2892987,2898292,2903820,2908776,2910652,2912619
21,Kentucky,0,0,0,0,0,0,0,0,4252000,4285828,4316040,4340167,4361333,4383272,4397353,4411989,4424376,4440204,4449052,4461952
22,Louisiana,0,0,0,0,0,0,0,0,4411546,4429940,4484596,4529605,4567968,4601049,4625253,4645670,4663461,4663616,4664362,4664616
23,Maine,0,0,0,0,0,0,0,0,1316380,1327665,1328543,1329084,1328320,1328535,1329100,1329923,1330158,1332813,1335492,1340825
24,Maryland,0,0,0,0,0,0,0,0,5637418,5696423,5736545,5785496,5834299,5887776,5930538,5959902,5996079,6003435,6018848,6037624
25,Massachusetts,0,0,0,0,0,0,0,0,6511176,6477096,6512227,6560595,6605058,6657291,6705586,6742143,6789319,6830193,6850553,6873003
26,Michigan,0,0,0,0,0,0,0,0,10039208,9952687,9920621,9897264,9886095,9889024,9900571,9909600,9925568,9957488,9965265,9973907
27,Minnesota,0,0,0,0,0,0,0,0,5188581,5241914,5278190,5313081,5347740,5383661,5419171,5450868,5490726,5527358,5563378,5600166
28,Mississippi,0,0,0,0,0,0,0,0,2922240,2941991,2956700,2967620,2976872,2984345,2988081,2989192,2986220,2988762,2984418,2981835
29,Missouri,0,0,0,0,0,0,0,0,5904382,5922314,5955802,5982413,6007182,6028076,6045448,6059651,6075300,6090062,6104910,6124160
30,Montana,0,0,0,0,0,0,0,0,956257,973739,982854,990785,998554,1006370,1014699,1023391,1029862,1041732,1050649,1061705
31,Nebraska,0,0,0,0,0,0,0,0,1772124,1799125,1813061,1827306,1841625,1855617,1869365,1881259,1893921,1904760,1914571,1923826
32,Nevada,0,0,0,0,0,0,0,0,2545763,2633331,2673396,2704204,2730066,2761584,2798636,2839172,2887725,2922849,2972382,3030281
33,New Hampshire,0,0,0,0,0,0,0,0,1315419,1313939,1315911,1317474,1319171,1321069,1324201,1327503,1331848,1343622,1348124,1355244
34,New Jersey,0,0,0,0,0,0,0,0,8650548,8721577,8753064,8793888,8832406,8874374,8904413,8915456,8960161,8881845,8878503,8885418
35,New Mexico,0,0,0,0,0,0,0,0,1964860,2013122,2037136,2055287,2069706,2080085,2084117,2082669,2084828,2092434,2092454,2097021
36,New York,0,0,0,0,0,0,0,0,19423896,19229752,19302448,19398125,19487053,19594330,19673174,19697457,19798228,19618453,19572319,19514849
37,North Carolina,0,0,0,0,0,0,0,0,9045705,9271178,9418736,9544249,9651380,9750405,9845333,9940828,10052564,10155624,10264876,10386227
38,North Dakota,0,0,0,0,0,0,0,0,639725,659858,666783,676253,689781,704925,721640,736162,745475,752201,756717,760394
39,Ohio,0,0,0,0,0,0,0,0,11511858,11512431,11525536,11533561,11549590,11560380,11575977,11586941,11609756,11641879,11655397,11675275
40,Oklahoma,0,0,0,0,0,0,0,0,3610073,3675339,3714520,3749005,3785742,3818851,3849733,3875589,3896251,3918137,3932870,3949342
41,Oregon,0,0,0,0,0,0,0,0,3727407,3761925,3801991,3836628,3868721,3900343,3939233,3982267,4025127,4081943,4129803,4176346
42,Pennsylvania,0,0,0,0,0,0,0,0,12516596,12612705,12660739,12699589,12731381,12758729,12779559,12783977,12790505,12791181,12791530,12794885
44,Rhode Island,0,0,0,0,0,0,0,0,1057381,1056389,1053959,1052471,1051695,1053252,1053661,1054491,1056138,1056611,1057231,1057798
45,South Carolina,0,0,0,0,0,0,0,0,4416867,4511428,4575864,4630351,4679602,4727273,4777576,4834605,4893444,4955925,5020806,5091517
46,South Dakota,0,0,0,0,0,0,0,0,796513,799462,807697,815871,825198,834708,843190,851058,855444,864289,870638,879336
47,Tennessee,0,0,0,0,0,0,0,0,6158953,6234968,6297991,6353226,6402387,6451365,6499615,6548009,6597381,6651089,6709356,6772268
48,Texas,0,0,0,0,0,0,0,0,23819042,24311891,24774187,25208897,25639373,26092033,26538614,26956435,27419612,27885195,28260856,28635442
49,Utah,0,0,0,0,0,0,0,0,2651816,2657236,2715379,2766233,2813673,2858111,2903379,2948427,2993941,3045350,3096848,3151239
50,Vermont,0,0,0,0,0,0,0,0,620414,624258,624958,625498,625904,626358,626604,626249,624636,624977,624313,624340
51,Virginia,0,0,0,0,0,0,0,0,7721730,7841754,7926192,8014955,8100653,8185131,8256630,8310301,8365952,8413774,8454463,8509358
53,Washington,0,0,0,0,0,0,0,0,6465755,6561297,6652845,6738714,6819579,6899123,6985464,7073146,7169967,7294336,7404107,7512465
54,West Virginia,0,0,0,0,0,0,0,0,1811403,1840802,1846372,1850481,1853619,1853881,1851420,1846092,1836843,1829054,1817305,1807426
55,Wisconsin,0,0,0,0,0,0,0,0,5599420,5637947,5664893,5687219,5706871,5724692,5742117,5754798,5763217,5778394,5790716,5806975
56,Wyoming,0,0,0,0,0,0,0,0,523949,545579,554697,562803,570134,575251,579679,583029,583200,581836,581024,581348
72,NA,0,0,0,0,0,0,0,0,3940109,3762322,3742586,3716727,3682966,3638965,3583073,3529385,3468963,3386941,3318447,3255642
